experiment,folder,choice_set,alternative,R,O,Y,G,B,P,UV,intensity,no_choice,max_count
1,T20F0T13F0F0F0T27F0T17T5T20T2T3T4F0F0,100,2_right,0.43,0.08,0.3,0.05,0.06,0.08,0,0.03,0,2
1,T20F0T13F0F0F0T27F0T17T5T20T2T3T4F0F0,100,3_none,0,0,0,0,0,0,0,0,1,68
1,T20F0T2T3T29F0T19F0T11T4T9F0T18T5T21F0,99,1_left,0.25,0,0.02,0.05,0.41,0,0.26,1,0,5
1,T20F0T2T3T29F0T19F0T11T4T9F0T18T5T21F0,99,2_right,0.2,0.04,0.1,0,0.28,0.08,0.3,0.72,0,7
1,T20F0T2T3T29F0T19F0T11T4T9F0T18T5T21F0,99,3_none,0,0,0,0,0,0,0,0,1,68
1,T21T2F0T4T2T2T4F0T9T1T1F0T2T2T8F0,116,1_left,0.58,0.05,0,0.13,0.07,0.05,0.13,-0.67,0,5
1,T21T2F0T4T2T2T4F0T9T1T1F0T2T2T8F0,116,2_right,0.44,0.03,0.04,0,0.08,0.07,0.33,-1,0,6
1,T21T2F0T4T2T2T4F0T9T1T1F0T2T2T8F0,116,3_none,0,0,0,0,0,0,0,0,1,69
1,T25T2T4T4T3T4F0F0T21T1F0T1T6T1T1F0,103,1_left,0.6,0.05,0.08,0.1,0.07,0.1,0,-0.48,0,2
1,T25T2T4T4T3T4F0F0T21T1F0T1T6T1T1F0,103,2_right,0.72,0.03,0,0.03,0.17,0.03,0.02,-0.53,0,3
1,T25T2T4T4T3T4F0F0T21T1F0T1T6T1T1F0,103,3_none,0,0,0,0,0,0,0,0,1,75
1,T2T10T1F0T17F0F0F0T1T11T0T0T17T4T1F0,92,1_left,0.05,0.28,0.02,0,0.64,0,0,-0.88,0,1
1,T2T10T1F0T17F0F0F0T1T11T0T0T17T4T1F0,92,2_right,0.03,0.26,0.01,0.01,0.53,0.14,0.03,-0.69,0,3
1,T2T10T1F0T17F0F0F0T1T11T0T0T17T4T1F0,92,3_none,0,0,0,0,0,0,0,0,1,76
1,T2T19F0T5T0T5F0F0T2T16T4T4F0T6T5F0,72,1_left,0.07,0.53,0,0.2,0.01,0.19,0,-0.91,0,2
1,T2T19F0T5T0T5F0F0T2T16T4T4F0T6T5F0,72,2_right,0.06,0.37,0.1,0.15,0,0.18,0.15,-0.73,0,4
1,T2T19F0T5T0T5F0F0T2T16T4T4F0T6T5F0,72,3_none,0,0,0,0,0,0,0,0,1,74
1,T30T30F0F0T4F0F0F0T15T20F0F0T3F0T15F0,82,1_left,0.51,0.42,0,0,0.07,0,0,0.17,0,2
1,T30T30F0F0T4F0F0F0T15T20F0F0T3F0T15F0,82,2_right,0.35,0.29,0,0,0.06,0,0.29,0.09,0,31
1,T30T30F0F0T4F0F0F0T15T20F0F0T3F0T15F0,82,3_none,0,0,0,0,0,0,0,0,1,47
1,T33F0T1T3T7T6T0F0T28T2F0F0F0T2T9F0,87,1_left,0.63,0,0.01,0.07,0.16,0.12,0.01,-0.05,0,3
1,T33F0T1T3T7T6T0F0T28T2F0F0F0T2T9F0,87,2_right,0.74,0.03,0,0,0,0.04,0.19,-0.09,0,9
1,T33F0T1T3T7T6T0F0T28T2F0F0F0T2T9F0,87,3_none,0,0,0,0,0,0,0,0,1,68
1,T3F0F0T49T1F0T4F0T2T3T2T40F0T7F0F0,69,1_left,0.04,0,0,0.87,0.02,0,0.07,0.43,0,2
1,T3F0F0T49T1F0T4F0T2T3T2T40F0T7F0F0,69,2_right,0.05,0.04,0.02,0.77,0,0.12,0,0.29,0,1
1,T3F0F0T49T1F0T4F0T2T3T2T40F0T7F0F0,69,3_none,0,0,0,0,0,0,0,0,1,77
1,T3T10T7T5F0T6T2F0F0T4T12T5T0T7F0F0,104,1_left,0.09,0.25,0.18,0.19,0,0.22,0.07,-0.76,0,6
1,T3T10T7T5F0T6T2F0F0T4T12T5T0T7F0F0,104,2_right,0,0.12,0.37,0.21,0.01,0.28,0,-1,0,2
1,T3T10T7T5F0T6T2F0F0T4T12T5T0T7F0F0,104,3_none,0,0,0,0,0,0,0,0,1,72
1,T40F0F0F0T9T24T1F0T24T6T5T8T8T16F0F0,102,1_left,0.5,0,0,0,0.13,0.35,0.01,0.92,0,4
1,T40F0F0F0T9T24T1F0T24T6T5T8T8T16F0F0,102,2_right,0.42,0.06,0.05,0.12,0.12,0.23,0,0.81,0,2
1,T40F0F0F0T9T24T1F0T24T6T5T8T8T16F0F0,102,3_none,0,0,0,0,0,0,0,0,1,74
1,T4T16T3T1T4T3T3F0F0T16T4T3F0F0T8F0,105,1_left,0.12,0.41,0.08,0.04,0.14,0.1,0.12,-0.81,0,7
1,T4T16T3T1T4T3T3F0F0T16T4T3F0F0T8F0,105,2_right,0,0.47,0.11,0.13,0,0,0.3,-1,0,6
1,T4T16T3T1T4T3T3F0F0T16T4T3F0F0T8F0,105,3_none,0,0,0,0,0,0,0,0,1,67
1,T52F0T6T14F0F0F0F0T32T16F0T10T1T3T3F0,73,1_left,0.71,0,0.07,0.22,0,0,0,0.76,0,1
1,T52F0T6T14F0F0F0F0T32T16F0T10T1T3T3F0,73,2_right,0.58,0.17,0,0.16,0.02,0.04,0.04,0.74,0,3
1,T52F0T6T14F0F0F0F0T32T16F0T10T1T3T3F0,73,3_none,0,0,0,0,0,0,0,0,1,76
1,T5T0T3T1T23T1T3F0F0F0F0T5T28F0T5F0,71,1_left,0.12,0.01,0.06,0.02,0.67,0.04,0.09,-0.58,0,3
1,T5T0T3T1T23T1T3F0F0F0F0T5T28F0T5F0,71,2_right,0,0,0,0.15,0.73,0,0.12,-0.4,0,2
1,T5T0T3T1T23T1T3F0F0F0F0T5T28F0T5F0,71,3_none,0,0,0,0,0,0,0,0,1,75
1,T5T3T13T4T6F0T13F0F0F0F0F0F0F0T47F0,112,1_left,0.11,0.05,0.24,0.1,0.17,0,0.33,-0.39,0,4
1,T5T3T13T4T6F0T13F0F0F0F0F0F0F0T47F0,112,2_right,0,0,0,0,0,0,1,-0.13,0,10
1,T5T3T13T4T6F0T13F0F0F0F0F0F0F0T47F0,112,3_none,0,0,0,0,0,0,0,0,1,66
1,T6F0T31T8T17T11T9F0T16T9T19T7T8T6T11F0,115,1_left,0.07,0,0.31,0.11,0.24,0.15,0.12,1,0,6
1,T6F0T31T8T17T11T9F0T16T9T19T7T8T6T11F0,115,2_right,0.27,0.09,0.19,0.1,0.11,0.09,0.15,0.95,0,5
1,T6F0T31T8T17T11T9F0T16T9T19T7T8T6T11F0,115,3_none,0,0,0,0,0,0,0,0,1,69
1,T6T11T3T3T27F0F0F0T2F0F0F0T26T0T18F0,76,1_left,0.12,0.17,0.05,0.06,0.6,0,0,-0.07,0,1
1,T6T11T3T3T27F0F0F0T2F0F0F0T26T0T18F0,76,2_right,0.04,0,0,0,0.57,0.01,0.38,-0.12,0,7
1,T6T11T3T3T27F0F0F0T2F0F0F0T26T0T18F0,76,3_none,0,0,0,0,0,0,0,0,1,72
1,T6T2T1T15F0F0T0F0T3T5T2T14T3T0F0F0,94,1_left,0.22,0.06,0.04,0.67,0,0,0.01,-1,0,2
1,T6T2T1T15F0F0T0F0T3T5T2T14T3T0F0F0,94,2_right,0.14,0.12,0.05,0.56,0.12,0.01,0,-0.87,0,1
1,T6T2T1T15F0F0T0F0T3T5T2T14T3T0F0F0,94,3_none,0,0,0,0,0,0,0,0,1,77
1,T7F0T41F0T0T0T1F0F0F0T42T1F0T5T2F0,85,1_left,0.16,0,0.8,0,0.01,0.01,0.02,-0.48,0,3
1,T7F0T41F0T0T0T1F0F0F0T42T1F0T5T2F0,85,2_right,0,0,0.81,0.03,0,0.12,0.04,-0.43,0,5
1,T7F0T41F0T0T0T1F0F0F0T42T1F0T5T2F0,85,3_none,0,0,0,0,0,0,0,0,1,72
1,T7T5T8T4T1T25T3F0F0F0F0F0F0T19T32F0,111,1_left,0.12,0.07,0.11,0.09,0.03,0.52,0.06,0.08,0,5
